Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.905,0.905,0.858,0.902,0.905,0.846,0.905,0.905,0.88,0.906,1.14 secs
DT,0.952,0.952,0.934,0.955,0.952,0.958,0.952,0.952,0.923,0.964,4.46 secs
NB,0.897,0.897,0.825,0.887,0.897,0.815,0.897,0.897,0.859,0.888,1.46 secs
LDA,0.945,0.945,0.922,0.949,0.945,0.946,0.945,0.945,0.912,0.96,10.07 secs
QDA,0.938,0.938,0.915,0.943,0.938,0.939,0.938,0.938,0.906,0.956,3.45 secs
LR,0.947,0.947,0.925,0.951,0.947,0.947,0.947,0.947,0.914,0.96,66.53 secs
ABoost,0.954,0.954,0.936,0.956,0.954,0.955,0.954,0.954,0.923,0.961,70.34 secs
k-NN,0.961,0.961,0.943,0.962,0.961,0.954,0.961,0.961,0.935,0.964,4630.42 secs
MLP,0.963,0.963,0.947,0.965,0.963,0.965,0.963,0.963,0.935,0.97,316.59 secs
SVM,0.947,0.947,0.925,0.951,0.947,0.948,0.947,0.947,0.914,0.961,105.31 secs
