,feature,importance
37,ct_dst_src_ltm,0.0921458666943146
34,ct_src_ltm,0.08583185633083712
35,ct_src_dport_ltm,0.08317018045911916
32,ct_srv_dst,0.07809719831712945
27,ct_state_ttl,0.0644619815985911
33,ct_dst_ltm,0.06393921879608551
31,ct_srv_src,0.05202786752669662
191,state_RST,0.05189139939045649
183,state_INT,0.04344001981472974
36,ct_dst_sport_ltm,0.04006591227602476
3,sttl,0.035146366886674385
2,dbytes,0.03475139768650884
4,dttl,0.03042823764238569
11,swin,0.026269605098202416
0,dur,0.02574386840705463
10,dpkts,0.02522439345714525
15,smeansz,0.02467914097380914
7,sload,0.023574159319235156
17,trans_depth,0.020814634132404218
16,dmeansz,0.018178835041819982
13,stcpb,0.01369956682270476
21,sintpkt,0.012781215714128234
5,sloss,0.008595420715082697
22,dintpkt,0.006625930859806991
20,djit,0.005807545168706103
207,service_http,0.005798165796272956
8,dload,0.005623945234615799
1,sbytes,0.004599028544421822
25,ackdat,0.0033647093584237365
23,tcprtt,0.0030954664827875238
6,dloss,0.002279660365911046
14,dtcpb,0.002150032705531917
182,state_FIN,0.0014863011220997938
24,synack,0.0011767971470902016
18,res_bdy_len,0.0005637616565957361
19,sjit,0.0005132397001426661
12,dwin,0.0004776759314669468
9,spkts,0.000385847121635899
29,is_ftp_login,0.000293490179355342
202,service_0,0.00021275411863029542
156,proto_tcp,0.0001664226891696524
213,service_ssh,0.00014046361574196196
30,ct_ftp_cmd,8.27593989099238e-05
28,ct_flw_http_mthd,5.939104145117542e-05
179,state_CON,5.841085147701053e-05
140,proto_sctp,5.3893313178850095e-05
154,proto_swipe,6.811321001566462e-06
71,proto_gre,6.736565473807808e-06
203,service_dhcp,4.561696475248741e-06
211,service_smtp,3.137314610266411e-06
143,proto_sep,1.8763301203217238e-06
162,proto_udp,1.36472812211374e-06
204,service_dns,7.092130572418103e-07
164,proto_unas,5.554338426722716e-07
214,service_ssl,7.59183745185541e-08
201,service_-,7.585482708542459e-08
178,state_CLO,4.7967038699976905e-08
57,proto_dcn,7.847396766947133e-09
209,service_pop3,2.241287490797806e-09
205,service_ftp,1.323760750445161e-09
189,state_REQ,7.400413345237041e-10
43,proto_aris,6.550512511079379e-15
115,proto_mux,2.3490116537559987e-16
48,proto_br-sat-mon,0.0
157,proto_tlsp,0.0
158,proto_tp++,0.0
159,proto_trunk-1,0.0
160,proto_trunk-2,0.0
161,proto_ttp,0.0
55,proto_crtp,0.0
163,proto_udt,0.0
49,proto_cbt,0.0
165,proto_uti,0.0
166,proto_vines,0.0
167,proto_visa,0.0
168,proto_vmtp,0.0
169,proto_vrrp,0.0
170,proto_wb-expak,0.0
47,proto_bna,0.0
50,proto_cftp,0.0
155,proto_tcf,0.0
145,proto_sm,0.0
138,proto_sccopmce,0.0
