Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9966,0.0923,0.0498,0.625,0.0001
Backdoor,0.997,,0.0,0.0,0.0
Bot,1.0,0.9973,0.9973,0.9973,0.0
DDoS,0.9999,0.9995,0.9996,0.9995,0.0001
DoS,0.978,0.0623,0.0347,0.3097,0.0017
DoS GoldenEye,0.9993,0.9702,0.9632,0.9773,0.0003
DoS Slowhttptest,0.9995,0.9987,0.9988,0.9986,0.0004
DoS slowloris,0.9982,0.9166,0.877,0.96,0.0004
Dos Hulk,0.998,0.9154,0.9678,0.8684,0.0017
Exploits,0.9557,0.7017,0.9062,0.5724,0.0413
FTP-Patator,1.0,1.0,1.0,1.0,0.0
Fuzzers,0.9888,0.8139,0.7842,0.8459,0.0046
Generic,0.9921,0.9857,0.9761,0.9953,0.0018
Heartbleed,1.0,,0.0,,0.0
Infiltration,1.0,0.8,0.6667,1.0,0.0
PortScan,0.9999,0.9997,0.9996,0.9999,0.0
Reconnaissance,0.987,0.6516,0.6733,0.6313,0.0072
SSH-Patator,1.0,0.9961,0.9922,1.0,0.0
Shellcode,0.998,0.0131,0.0066,0.5,0.0
Web Attack – Brute Force,0.9992,0.808,0.9927,0.6812,0.0008
Web Attack – Sql Injection,1.0,,0.0,,0.0
Web Attack – XSS,0.9992,0.0503,0.0258,1.0,0.0
Worms,0.9998,,0.0,,0.0
