Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.968,0.1022,0.5268,0.0566,0.0305
Backdoor,0.9817,0.0831,0.2747,0.0489,0.0161
Bot,1.0,0.9959,0.9946,0.9973,0.0
DDoS,0.9999,0.9996,0.9991,1.0,0.0
DoS,0.9633,0.0394,0.0357,0.0441,0.0167
DoS GoldenEye,0.9983,0.9174,0.85,0.9964,0.0
DoS Slowhttptest,0.9972,0.9932,0.999,0.9875,0.0033
DoS slowloris,0.9987,0.9431,0.9151,0.9727,0.0003
Dos Hulk,0.9989,0.9516,0.9904,0.9158,0.001
Exploits,0.9578,0.4873,0.3488,0.8083,0.005
FTP-Patator,1.0,1.0,1.0,1.0,0.0
Fuzzers,0.9688,0.3125,0.226,0.5062,0.0071
Generic,0.9785,0.9598,0.9227,1.0,0.0
Heartbleed,1.0,,0.0,,0.0
Infiltration,1.0,0.9091,0.8333,1.0,0.0
PortScan,0.9991,0.9977,0.9954,1.0,0.0
Reconnaissance,0.9819,,0.0,0.0,0.0
SSH-Patator,1.0,0.9989,0.9978,1.0,0.0
Shellcode,0.9765,0.1423,1.0,0.0766,0.0236
Web Attack – Brute Force,0.9991,0.6855,0.533,0.9604,0.0
Web Attack – Sql Injection,1.0,,0.0,0.0,0.0
Web Attack – XSS,0.9991,0.6514,0.9536,0.4947,0.0008
Worms,0.9723,0.0126,0.7885,0.0063,0.0277
