Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9949,0.1802,0.1631,0.2012,0.0022
Backdoor,0.9961,0.042,0.0286,0.0787,0.001
Bot,1.0,0.9986,0.9973,1.0,0.0
DDoS,1.0,0.9998,0.9998,0.9999,0.0
DoS,0.9688,0.3277,0.3604,0.3004,0.0181
DoS GoldenEye,0.9998,0.9911,0.9916,0.9905,0.0001
DoS Slowhttptest,0.9999,0.9997,0.9997,0.9998,0.0001
DoS slowloris,0.9992,0.9619,0.9378,0.9873,0.0001
Dos Hulk,0.9991,0.9606,0.9881,0.9345,0.0008
Exploits,0.9605,0.6735,0.7075,0.6426,0.024
FTP-Patator,1.0,1.0,1.0,1.0,0.0
Fuzzers,0.9908,0.8492,0.8306,0.8686,0.0041
Generic,0.9934,0.988,0.9811,0.995,0.0019
Heartbleed,1.0,0.9091,0.8333,1.0,0.0
Infiltration,1.0,0.9412,0.8889,1.0,0.0
PortScan,1.0,0.9999,0.9999,1.0,0.0
Reconnaissance,0.9919,0.7694,0.7438,0.7968,0.0035
SSH-Patator,1.0,0.9983,0.9966,1.0,0.0
Shellcode,0.9983,0.4389,0.3488,0.5918,0.0005
Web Attack – Brute Force,0.9992,0.7954,0.8509,0.7468,0.0005
Web Attack – Sql Injection,1.0,0.4,0.25,1.0,0.0
Web Attack – XSS,0.9993,0.479,0.4124,0.5714,0.0003
Worms,0.9998,0.069,0.0385,0.3333,0.0
