Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9906,0.1351,0.2117,0.0992,0.0067
Backdoor,0.9876,0.082,0.1845,0.0527,0.01
Bot,0.9997,0.9107,0.981,0.8498,0.0003
DDoS,0.9996,0.9983,0.9982,0.9984,0.0002
DoS,0.9668,0.3939,0.5106,0.3206,0.0234
DoS GoldenEye,0.9966,0.8323,0.7479,0.9381,0.0006
DoS Slowhttptest,0.9966,0.9918,0.9962,0.9874,0.0033
DoS slowloris,0.9936,0.6912,0.6311,0.7639,0.0023
Dos Hulk,0.9922,0.6895,0.7672,0.6261,0.0052
Exploits,0.9612,0.5549,0.4201,0.8171,0.0057
FTP-Patator,1.0,1.0,1.0,1.0,0.0
Fuzzers,0.9861,0.7559,0.6868,0.8405,0.0042
Generic,0.9919,0.9853,0.9746,0.9963,0.0014
Heartbleed,1.0,1.0,1.0,1.0,0.0
Infiltration,0.9999,0.5263,0.8333,0.3846,0.0001
PortScan,0.9995,0.9987,0.9974,1.0,0.0
Reconnaissance,0.9821,0.4113,0.346,0.5068,0.0062
SSH-Patator,0.9999,0.9911,0.9899,0.9922,0.0
Shellcode,0.9877,0.1673,0.6313,0.0965,0.0116
Web Attack – Brute Force,0.998,0.2932,0.2323,0.3975,0.0006
Web Attack – Sql Injection,0.9999,0.15,0.75,0.0833,0.0001
Web Attack – XSS,0.9986,0.4365,0.6649,0.3249,0.0012
Worms,0.9893,0.0313,0.7692,0.016,0.0106
