Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9966,0.0099,0.005,1.0,0.0
Backdoor,0.997,0.0057,0.0029,0.3333,0.0
Bot,1.0,0.9959,0.9973,0.9946,0.0
DDoS,1.0,1.0,1.0,1.0,0.0
DoS,0.9782,0.0456,0.0247,0.298,0.0013
DoS GoldenEye,0.9998,0.9902,0.9928,0.9875,0.0001
DoS Slowhttptest,0.9998,0.9994,0.9994,0.9994,0.0002
DoS slowloris,0.9984,0.924,0.8759,0.9777,0.0002
Dos Hulk,0.9985,0.9356,0.9851,0.8909,0.0014
Exploits,0.9558,0.7014,0.9032,0.5733,0.041
FTP-Patator,1.0,1.0,1.0,1.0,0.0
Fuzzers,0.9884,0.812,0.7987,0.8258,0.0055
Generic,0.9921,0.9858,0.9761,0.9956,0.0017
Heartbleed,1.0,,0.0,,0.0
Infiltration,1.0,0.9412,0.8889,1.0,0.0
PortScan,1.0,1.0,0.9999,1.0,0.0
Reconnaissance,0.9865,0.6385,0.6621,0.6166,0.0076
SSH-Patator,1.0,0.9961,0.9922,1.0,0.0
Shellcode,0.998,,0.0,0.0,0.0
Web Attack – Brute Force,0.9992,0.808,0.9927,0.6812,0.0008
Web Attack – Sql Injection,1.0,,0.0,,0.0
Web Attack – XSS,0.9992,0.0878,0.0464,0.8182,0.0
Worms,0.9998,,0.0,,0.0
